horse_id,bday,tame_id,owner_id,producer_id,production area,auction price,winnings,lifetime record,wined race title,inbreeding-1,inbreeding-2,father,faths father,faths mother,mother,moths father,moths mother
2006102822,2006年2月5日,00138,415800,owner.netkeiba.com,社台コーポレーション白老ファーム,白老町,"
-
","


4億9,621万円 (中央)

",2006102822,201109060511,,1999110099,000a0016f2,000a00b2b6,1997103579,000a00193b,000a0065ee
2006102859,2006年5月22日,01059,486800,owner.netkeiba.com,社台コーポレーション白老ファーム,白老町,"
-
","


2億5,373万円 (中央)

",2006102859,201106040211,,2001103460,000a001d7e,000a00680e,000a00fed6,000a001fd8,000a009d80
2006104625,2006年2月14日,01041,506800,owner.netkeiba.com,中地義次,新冠町,"630万円 (2006年 北海道セレクションセール)
","



2億8,508万円 (中央) /649万円 (地方)
",2006104625,201108040411,,1999106689,000a00033a,000a0065ef,1996110223,1985109004,000a00a6c5
2007100811,2007年4月25日,01065,918002,333301,新ひだか町,"
-
","


1億5,849万円 (中央)

",49戦7勝 [7-3-3-36],201203020411,1999100898,1997102604,1995108676,000a0019b4,000a00a4b9,1991103959,000a000d2f,1982105348
2007104807,2007年3月7日,01069,006030,500462,新冠町,"
-
","



2億3,837万円 (中央) /46万円 (地方)
",38戦9勝 [9-2-3-24],201209010211,2008104852,2017101858,1996106512,000a001bda,1991104457,1999106873,1993109219,000a00669b
2007104877,2007年2月22日,00425,542800,owner.netkeiba.com,ビッグレッドファーム,新冠町,"
-
","



3億289万円 (中央) /1億9,194万円 (地方)
",2007104877,201435110309,,000a010a10,000a002109,000a00b187,2002101527,1995108558,1983106194
2007105543,2007年3月22日,00438,601006,913124,日高町,"
-
","



3億1,244万円 (中央) /1,200万円 (地方)
",30戦5勝 [5-5-3-17],201009040210,2008105584,2001106161,1989108341,1982101222,1984104366,000a0067f5,000a0017b0,000a00b200
2008101031,2008年4月4日,05630,139006,813308,新ひだか町,"
-
","



3億1,148万円 (中央) /169万円 (地方)
",39戦10勝 [10-5-0-24],201505020711,2001104054,2016106387,2000102261,000a00033a,1987106591,1996105031,000a0015c6,000a00030e
2008103077,2008年3月14日,00362,398002,373126,安平町,"
-
","


1億4,595万円 (中央)

",27戦5勝 [5-2-5-15],201205040410,2012104511,2007103116,2001103460,000a001d7e,000a00680e,2000107542,000a00033a,1993109154
2008103552,2008年3月11日,00438,170800,owner.netkeiba.com,ケイアイファーム,新ひだか町,"
-
","


6億6,995万円 (中央)

",2008103552,201305030211,,2001103460,000a001d7e,000a00680e,1996107173,000a001a98,000a00652e
2008103919,2008年4月2日,00411,053803,203064,新ひだか町,"
-
","


2億2,943万円 (中央)

",58戦6勝 [6-5-7-40],201210020811,2013102599,2015102663,1989108341,1982101222,1984104366,2001101389,000a000082,000a006725
2008103928,2008年3月22日,00979,772002,901188,鹿児島県,"
-
","



7,582万円 (中央) /800万円 (地方)
",39戦5勝 [5-1-2-31],201156082410,2012103119,2006106275,1999106689,000a00033a,000a0065ef,1999101349,1989108341,1987104693
2008105965,2008年4月30日,00343,031033,203398,日高町,"
-
","


1億3,426万円 (中央)

",23戦6勝 [6-2-3-12],201310020811,2013100783,2016103495,2001103038,000a00033a,1990104626,000a01069f,000a001d7e,000a0105dc
2009101347,2009年4月8日,01103,948006,900052,浦河町,"871万円 (2011年 JRAブリーズアップセール)
","


7,923万円 (中央)

",24戦3勝 [3-2-0-19],201104040811,2017103174,2008102279,1999107004,000a00033a,1982101939,2002104194,000a0000df,1988104640
2009102527,2009年2月14日,01028,841030,033357,日高町,"5,250万円 (2009年 セレクトセール)
","


3億7,010万円 (中央)

",29戦7勝 [7-6-1-15],201309040211,2019101700,2015101439,2003102991,000a00010f,1998101750,2001107654,1989108341,1992107580
2009103971,2009年2月13日,00427,464800,703082,新ひだか町,"262万円 (2010年 北海道サマーセール)
","


1億1,071万円 (中央)

",29戦5勝 [5-3-4-17],201308010511,2012103286,2013104593,000a00fa41,000a001676,000a00fac9,2001104341,000a000006,1988106097
2009106383,2009年2月1日,01022,790005,373126,安平町,"
-
","


2億1,101万円 (中央)

",22戦4勝 [4-4-2-12],201209040211,2013106131,2006103402,2001103114,000a00033a,1988107320,1999110001,000a001bda,000a00a8a4
